date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:42	40506/40506	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-9e3a%22	https://flatfull.com/themes/basik/html/music.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/music.html	(from )
12:17:42	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2017%20May%202025%2009:17:43%20GMT	https://flatfull.com/robots.txt		(from )
12:17:43	226197/226197	---MCZ	200	added ('OK')	text/css	etag:W/%225daead1c-37395%22	https://flatfull.com/themes/basik/assets/css/site.min.css	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/assets/css/site.min.css	(from https://flatfull.com/themes/basik/html/music.html)
12:17:43	10462/10462	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-28de%22	https://flatfull.com/themes/basik/html/index.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/index.html	(from https://flatfull.com/themes/basik/html/music.html)
12:17:44	49822/49822	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-c29e%22	https://flatfull.com/themes/basik/html/music.charts.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/music.charts.html	(from https://flatfull.com/themes/basik/html/music.html)
12:17:44	40859/40859	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-9f9b%22	https://flatfull.com/themes/basik/html/music.cat.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/music.cat.html	(from https://flatfull.com/themes/basik/html/music.html)
12:17:45	26636/26636	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-680c%22	https://flatfull.com/themes/basik/html/music.artists.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/music.artists.html	(from https://flatfull.com/themes/basik/html/music.html)
12:17:45	36679/36679	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-8f47%22	https://flatfull.com/themes/basik/html/music.detail.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/music.detail.html	(from https://flatfull.com/themes/basik/html/music.html)
12:17:45	34148/34148	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-8564%22	https://flatfull.com/themes/basik/html/dashboard.html	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/dashboard.html	(from https://flatfull.com/themes/basik/html/music.html)
12:17:45	32487/32487	---MCZ	200	added ('OK')	text/html	etag:W/%225daead26-7ee7%22	https://flatfull.com/themes/basik/html/layout.a.html?bg	C:/Users/andre/Desktop/Denis/flatfull/flatfull.com/themes/basik/html/layout.a5523.html	(from https://flatfull.com/themes/basik/html/music.html)
